차량기지명,IC명,거리(km)
군자차량사업소,서종IC,29.25374891626023
도봉차량사업소,서종IC,29.28554092520599
수서차량사업소,기흥IC,29.28728143005484
창동차량사업소,부천IC,29.35983148755815
군자차량사업소,부평IC,29.413213340314694
지축차량사업소,덕소삼패IC,29.513031680258756
군자차량사업소,안산IC,29.70685235620105
천왕차량사업소,토평IC,29.717878237557763
고덕차량사업소,산본IC,29.720272244682942
천왕차량사업소,봉담IC,29.742295218345834
천왕차량사업소,토평IC,29.799110014347974
군자차량사업소,안산IC,29.806914556442887
방화차량사업소,남양주IC,29.900591979169093
천왕차량사업소,강일IC,29.968419549318813
수서차량사업소,기흥동탄IC,29.970260465945668
방화차량사업소,남양주IC,29.98277443900089
신정차량사업소,비봉IC,29.99746621212406
신정차량사업소,미사IC,30.03876715236779
창동차량사업소,평촌IC,30.045088294843136
천왕차량사업소,구리IC,30.051672858225917
도봉차량사업소,금천IC,30.097272891812302
방화차량사업소,토평IC,30.129631684658076
천왕차량사업소,구리IC,30.149740821892983
방화차량사업소,토평IC,30.22216501701991
방화차량사업소,송파IC,30.228751481533557
천왕차량사업소,강일IC,30.23035990477549
방화차량사업소,군포IC,30.248557000964745
천왕차량사업소,남양주IC,30.25739441818141
신내차량사업소,산본IC,30.28320915466845
수서차량사업소,서안산IC,30.325591168146605
천왕차량사업소,남양주IC,30.342641006730457
신내차량사업소,광명역IC,30.34516419114261
수서차량사업소,자유로IC,30.37859686664519
천왕차량사업소,상일IC,30.379553404026225
신내차량사업소,부천IC,30.380527977297756
방화차량사업소,송파IC,30.400662961003
방화차량사업소,군포IC,30.405680533269635
방화차량사업소,동군포IC,30.45105477121404
천왕차량사업소,상일IC,30.48717657883396
방화차량사업소,동군포IC,30.551741322809484
수서차량사업소,서안산IC,30.625249293622247
지축차량사업소,평촌IC,30.75919279709275
창동차량사업소,계양IC,30.762727732727935
수서차량사업소,양평IC,30.768855562391014
방화차량사업소,서하남IC,30.771687221196874
지축차량사업소,산본IC,30.79948076304075
도봉차량사업소,부천IC,30.80163095033421
수서차량사업소,장수IC,30.8081776459641
방화차량사업소,강일IC,30.882854320582815
고덕차량사업소,설악IC,30.912422191993535
방화차량사업소,서하남IC,30.94383281835244
천왕차량사업소,퇴계원IC,31.001797356136525
도봉차량사업소,성남IC,31.080479859741953
고덕차량사업소,마성IC,31.081690217420178
수서차량사업소,일산IC,31.090708851661166
천왕차량사업소,별내IC,31.112710936340118
고덕차량사업소,마성IC,31.127946020465913
고덕차량사업소,동수원IC,31.132374270614097
방화차량사업소,강일IC,31.152910357673644
고덕차량사업소,광명역IC,31.160152085838476
천왕차량사업소,선동IC,31.16745550157148
수서차량사업소,김포IC,31.2149757715217
창동차량사업소,광명역IC,31.215046276970355
고덕차량사업소,동수원IC,31.250941490941674
방화차량사업소,대왕판교IC,31.325599610330073
수서차량사업소,중동IC,31.38521977347052
수서차량사업소,봉담IC,31.39243923942214
도봉차량사업소,계양IC,31.40994523660282
수서차량사업소,송내IC,31.419278423796563
군자차량사업소,서안산IC,31.44633897329969
신내차량사업소,목감IC,31.498143165779545
고덕차량사업소,북수원IC,31.517539162955003
고덕차량사업소,북수원IC,31.587058993939372
군자차량사업소,서안산IC,31.701751256297634
창동차량사업소,산본IC,31.726007850336472
수서차량사업소,계양IC,31.84022102220899
방화차량사업소,부곡IC,31.84845369583961
방화차량사업소,부곡IC,31.880780917638607
창동차량사업소,시흥IC,31.88928479547666
군자차량사업소,마성IC,31.890011417324295
군자차량사업소,마성IC,31.901086417620114
방화차량사업소,선동IC,31.952565614450904
신내차량사업소,양평IC,31.997394585028744
신내차량사업소,시흥IC,32.047948329479254
신내차량사업소,계양IC,32.10544456365021
수서차량사업소,남양평IC,32.16848228666661
고덕차량사업소,목감IC,32.276899885154215
군자차량사업소,수원신갈IC,32.28927533906267
신정차량사업소,덕소삼패IC,32.31955066171869
수서차량사업소,양지IC,32.351260136931224
창동차량사업소,목감IC,32.360726022051544
방화차량사업소,상일IC,32.38292568197043
방화차량사업소,성남IC,32.42370782372372
방화차량사업소,상일IC,32.43381352152786
지축차량사업소,대왕판교IC,32.45602965420347
고덕차량사업소,부곡IC,32.477180559260944
지축차량사업소,성남IC,32.50736659608314
천왕차량사업소,미사IC,32.50901101045885
수서차량사업소,신둔(이천) 하이패스IC,32.51448331097576
신정차량사업소,봉담IC,32.531518969498904
창동차량사업소,중동IC,32.53203731754034
고덕차량사업소,부곡IC,32.54330589543902
도봉차량사업소,대왕판교IC,32.65256618286401
방화차량사업소,판교IC,32.83641955031045
군자차량사업소,서인천IC,33.11355792965507
천왕차량사업소,수원신갈IC,33.141704447397345
고덕차량사업소,자유로IC,33.19298046807935
방화차량사업소,미사IC,33.226917168179035
고덕차량사업소,동군포IC,33.25389571820676
고덕차량사업소,일산IC,33.26841225058133
고덕차량사업소,동군포IC,33.323349558864045
수서차량사업소,비봉IC,33.40743693341572
군자차량사업소,매송IC,33.44442576622309
신내차량사업소,중동IC,33.4653806409387
방화차량사업소,북수원IC,33.52400006710192
방화차량사업소,북수원IC,33.552572558370414
고덕차량사업소,수원신갈IC,33.57020598744816
창동차량사업소,송내IC,33.631720471380966
창동차량사업소,부평IC,33.852768325103156
수서차량사업소,부평IC,33.8548141721293
수서차량사업소,북오산IC,33.99146495971131
도봉차량사업소,중동IC,34.03396526485588
지축차량사업소,판교IC,34.039426230415046
지축차량사업소,안산IC,34.06320447442782
신내차량사업소,북수원IC,34.06905440480502
도봉차량사업소,판교IC,34.07654716699216
지축차량사업소,안산IC,34.10157721585874
신내차량사업소,북수원IC,34.11900915194079
지축차량사업소,서안산IC,34.132014815725995
고덕차량사업소,용인IC,34.22156790386045
지축차량사업소,서안산IC,34.2436642572428
군자차량사업소,가좌IC,34.30182266782793
창동차량사업소,장수IC,34.357713488674264
고덕차량사업소,군포IC,34.35904645236355
신내차량사업소,송내IC,34.371860005176785
고덕차량사업소,군포IC,34.395827330550745
신내차량사업소,부곡IC,34.41577318587156
신내차량사업소,부곡IC,34.462188631746656
신내차량사업소,동군포IC,34.68059098351593
신정차량사업소,수원신갈IC,34.70329432357774
도봉차량사업소,부평IC,34.723966349970006
신내차량사업소,동군포IC,34.76558665809355
천왕차량사업소,정남IC,34.80272947462569
신내차량사업소,장수IC,34.83823923548645
천왕차량사업소,덕소삼패IC,34.85735432877257
방화차량사업소,매송IC,34.8951655393702
고덕차량사업소,김포IC,34.90620288506978
신내차량사업소,동수원IC,34.923807276395955
도봉차량사업소,시흥IC,34.98942770733033
고덕차량사업소,시흥IC,34.9919799804259
고덕차량사업소,부천IC,34.99692520507275
창동차량사업소,양평IC,35.00698995545497
군자차량사업소,양평IC,35.03592238042875
신내차량사업소,동수원IC,35.0377551887609
신내차량사업소,부평IC,35.04679191823276
신내차량사업소,남양평IC,35.063365144458345
신내차량사업소,설악IC,35.06397162866714
