호선,역명,IC명,거리(km)
7호선,먹골,별내IC,6.475467837901554
7호선,철산,시흥IC,6.477178917096628
5호선,방이,상일IC,6.4887701772678845
7호선,장승배기,금천IC,6.489312109640619
6호선,화랑대,남양주IC,6.490107803899305
5호선,둔촌동,토평IC,6.494381043173194
7호선,상봉,토평IC,6.507430037226364
5호선,둔촌동,토평IC,6.510498868359812
5호선,광나루,강일IC,6.512349464536379
9호선,마곡나루,부천IC,6.531971046374893
8호선,천호,선동IC,6.537248430405083
9호선,양천향교,자유로IC,6.538313781339697
5호선,방화,일산IC,6.539333332069084
4호선,노원,퇴계원IC,6.550759785825596
6호선,화랑대,남양주IC,6.557358119429522
5호선,방화,계양IC,6.559597982372345
7호선,상봉,퇴계원IC,6.565270737862814
7호선,중화,남양주IC,6.574716670315332
2호선,신정네거리,부천IC,6.599010900233677
5호선,마곡,자유로IC,6.606124007406077
5호선,발산,자유로IC,6.606124007406077
5호선,마천,상일IC,6.610594612951389
5호선,방화,부천IC,6.611030452834939
3호선,도곡,송파IC,6.634950506229785
2호선,구의,서하남IC,6.642485774599289
7호선,용마산,남양주IC,6.644265013687498
5호선,방이,상일IC,6.647980499331071
7호선,중화,남양주IC,6.654698692405795
5호선,둔촌동,선동IC,6.659329417251126
7호선,온수,장수IC,6.659728724434709
5호선,길동,미사IC,6.661091100034509
5호선,신길,금천IC,6.664411657261585
6호선,석계,구리IC,6.672130760602739
8호선,암사,미사IC,6.6737966484362055
6호선,석계,퇴계원IC,6.6774744230074115
7호선,온수,송내IC,6.685160855574566
3호선,대청,서하남IC,6.6878292779096675
2호선,낙성대,금천IC,6.692755675202276
7호선,용마산,구리IC,6.693682142416956
7호선,남성,양재IC,6.696818237836084
5호선,미사,서하남IC,6.700762136526263
5호선,고덕,구리IC,6.705030797579607
7호선,중곡,토평IC,6.708132168192061
5호선,광나루,상일IC,6.713059526616714
7호선,노원,퇴계원IC,6.7235298876071665
8호선,남한산성입구,서하남IC,6.724483017856464
7호선,용마산,남양주IC,6.729314403024147
3호선,일원,서하남IC,6.735858628555194
5호선,미사,서하남IC,6.738835971150686
6호선,석계,별내IC,6.739499315089326
7호선,용마산,구리IC,6.755307952982913
5호선,상일동,구리IC,6.7564948272637935
8호선,강동구청,토평IC,6.761471523465053
5호선,강동,송파IC,6.770198208918979
7호선,온수,중동IC,6.772445995157419
7호선,먹골,남양주IC,6.791092671274482
7호선,중곡,토평IC,6.7932250143198925
5호선,광나루,상일IC,6.794930131116403
8호선,강동구청,토평IC,6.7963419840210095
8호선,남한산성입구,서하남IC,6.796890973628599
3호선,도곡,송파IC,6.805078677491815
5호선,고덕,구리IC,6.805214523947273
7호선,사가정,강일IC,6.806064252789661
7호선,숭실대입구,금천IC,6.808304130021909
7호선,천왕,부천IC,6.816367036620698
3호선,대청,서하남IC,6.825632289912853
6호선,석계,구리IC,6.828545033001457
8호선,몽촌토성,상일IC,6.830981368452105
5호선,강동,송파IC,6.833045735418851
2호선,삼성,송파IC,6.84900901748275
3호선,일원,서하남IC,6.854035709715599
7호선,먹골,남양주IC,6.8663602419528065
3호선,오금,상일IC,6.868251968610739
5호선,신정,부천IC,6.871577629658475
6호선,봉화산,토평IC,6.872371972081505
7호선,상도,금천IC,6.874820777427329
2호선,종합운동장,서하남IC,6.875093927829186
5호선,상일동,구리IC,6.878227130873589
5호선,개롱,상일IC,6.884408070978044
7호선,온수,금천IC,6.8868364184438455
7호선,하계,구리IC,6.894462313266842
5호선,고덕,덕소삼패IC,6.897516707647976
7호선,용마산,강일IC,6.90408175861298
3호선,수서,성남IC,6.906110556956274
6호선,신내,강일IC,6.909362818166155
5호선,하남검단산,서하남IC,6.909819234957992
5호선,오금,상일IC,6.9106289563044205
5호선,아차산,토평IC,6.9108751653424765
5호선,거여,상일IC,6.936413850658428
8호선,단대오거리,대왕판교IC,6.954844561168499
6호선,봉화산,토평IC,6.9561523437476325
5호선,하남풍산,남양주IC,6.970966786091157
8호선,몽촌토성,상일IC,6.972116520756536
5호선,강일,구리IC,6.975262315436175
5호선,아차산,토평IC,6.984887149844314
5호선,발산,계양IC,6.990348046123947
5호선,마곡,계양IC,6.990348046123947
5호선,하남풍산,남양주IC,6.9988236552994465
5호선,영등포시장,금천IC,7.000963702699147
8호선,천호,송파IC,7.007172808789868
2호선,삼성,송파IC,7.018736137114079
5호선,아차산,서하남IC,7.021648990007141
5호선,올림픽공원,강일IC,7.0304891396338425
5호선,하남검단산,서하남IC,7.03074093300031
3호선,오금,상일IC,7.032780809996291
2호선,종합운동장,서하남IC,7.036934911126099
5호선,명일,구리IC,7.047491488052042
7호선,면목,강일IC,7.050656412541221
5호선,개롱,상일IC,7.053118091704289
5호선,영등포구청,금천IC,7.055501461088093
4호선,동작,양재IC,7.063677089910419
5호선,아차산,강일IC,7.067574518642303
7호선,하계,구리IC,7.067931918390823
2호선,낙성대,양재IC,7.0701591154798145
7호선,사가정,강일IC,7.072962024115354
5호선,오금,상일IC,7.074889159843476
7호선,면목,퇴계원IC,7.075987673092121
5호선,천호,송파IC,7.076992802764334
9호선,동작,양재IC,7.0812754032161
5호선,길동,송파IC,7.084419008220469
8호선,천호,송파IC,7.088444643536808
5호선,개화산,일산IC,7.0908265795503125
3호선,압구정,양재IC,7.099415145469302
9호선,샛강,금천IC,7.1020131347283755
7호선,도봉산,별내IC,7.103533011961175
5호선,거여,상일IC,7.107738036553746
6호선,신내,강일IC,7.109549431964284
5호선,강일,구리IC,7.110982940278867
5호선,길동,남양주IC,7.115958247561972
5호선,명일,구리IC,7.127565224206214
5호선,길동,송파IC,7.132189736192907
3호선,일원,성남IC,7.139563593089285
5호선,천호,송파IC,7.157478600074501
7호선,중화,토평IC,7.15761637857248
5호선,길동,남양주IC,7.158716536578809
3호선,가락시장,성남IC,7.164009158662296
5호선,올림픽공원,강일IC,7.168702506022064
8호선,단대오거리,판교IC,7.170139273879579
7호선,중곡,강일IC,7.173760372166986
7호선,중화,별내IC,7.174516560607631
7호선,용마산,강일IC,7.1752321090693405
5호선,아차산,서하남IC,7.184386344817758
5호선,미사,구리IC,7.190326455095561
6호선,태릉입구,남양주IC,7.199566217647229
7호선,태릉입구,남양주IC,7.199566217647229
5호선,양평,금천IC,7.212504955058863
5호선,오목교,금천IC,7.21729485085057
8호선,가락시장,성남IC,7.233365112348567
2호선,영등포구청,금천IC,7.237229761429611
8호선,남위례,대왕판교IC,7.24587193883674
7호선,중화,토평IC,7.24925568350503
7호선,태릉입구,남양주IC,7.270544635397897
6호선,태릉입구,남양주IC,7.270544635397897
7호선,중곡,남양주IC,7.273392121531835
7호선,장암,별내IC,7.288456292407462
3호선,매봉,송파IC,7.289281064457645
8호선,강동구청,선동IC,7.300179502205787
5호선,강동,미사IC,7.307093255301579
2호선,강변,송파IC,7.30772135186821
7호선,면목,강일IC,7.309518141708068
8호선,암사,구리IC,7.31551739661739
7호선,마들,퇴계원IC,7.323599484500461
5호선,아차산,강일IC,7.330167478912425
5호선,미사,구리IC,7.347146602503121
