차량기지,구분,호선,전철역코드,역명,수송비용,유휴공간,교통량
방화차량사업소,마포구,5,2529,마포,0.652173913,0.02162255911,0.1461738201
방화차량사업소,마포구,5,2530,공덕,0.6789297659,0.140818437,0.1461738201
신내차량사업소,마포구,6,2627,공덕,0.4532967033,0.08671803308,0.1461738201
방화차량사업소,마포구,5,2530,공덕,0.6789297659,0.140818437,0.1461738201
신내차량사업소,마포구,6,2627,공덕,0.4532967033,0.08671803308,0.1461738201
방화차량사업소,마포구,5,2531,애오개,0.7157190635,0.004167642784,0.1461738201
신내차량사업소,마포구,6,2620,월드컵경기장,0.282967033,0.005565485705,0.1461738201
신내차량사업소,마포구,6,2621,마포구청,0.3049450549,0.03618601148,0.1461738201
신내차량사업소,마포구,6,2622,망원,0.3324175824,0.02474311401,0.1461738201
신내차량사업소,마포구,6,2624,상수,0.3763736264,0.02705084912,0.1461738201
신내차량사업소,마포구,6,2625,광흥창,0.4010989011,0.04530046504,0.1461738201
신내차량사업소,마포구,6,2626,대흥,0.4285714286,0.01445343695,0.1461738201
신정차량사업소,서대문구,2,243,충정로,0.792358804,0.007910755495,0.7768523952
방화차량사업소,서대문구,5,2532,충정로,0.745819398,0.02612801394,0.7768523952
신정차량사업소,서대문구,2,243,충정로,0.792358804,0.007910755495,0.7768523952
방화차량사업소,서대문구,5,2532,충정로,0.745819398,0.02612801394,0.7768523952
지축차량사업소,서대문구,3,314,홍제,0.4237288136,0.1865033089,0.7768523952
지축차량사업소,서대문구,3,315,무악재,0.4745762712,,0.7768523952
지축차량사업소,서대문구,3,316,독립문,0.5367231638,,0.7768523952
신정차량사업소,양천구,2,248,양천구청,0.9451827243,0.005808813917,0.5489778364
신정차량사업소,양천구,2,249,신정네거리,0.976744186,0.00549429926,0.5489778364
방화차량사업소,양천구,5,2520,신정,0.3411371237,0.008634268637,0.5489778364
방화차량사업소,양천구,5,2521,목동,0.3678929766,0.02030625703,0.5489778364
방화차량사업소,양천구,5,2522,오목교,0.397993311,0.2755018968,0.5489778364
지축차량사업소,은평구,3,310,구파발,0.08474576271,,0.837362231
지축차량사업소,은평구,3,311,연신내,0.197740113,0.0168414186,0.837362231
신내차량사업소,은평구,6,2615,연신내,0.1153846154,0.01069090975,0.837362231
지축차량사업소,은평구,3,311,연신내,0.197740113,0.0168414186,0.837362231
신내차량사업소,은평구,6,2615,연신내,0.1153846154,0.01069090975,0.837362231
지축차량사업소,은평구,3,312,불광,0.2711864407,0.02768893853,0.837362231
신내차량사업소,은평구,6,2613,불광,0.0521978022,0.009448382709,0.837362231
지축차량사업소,은평구,3,312,불광,0.2711864407,0.02768893853,0.837362231
신내차량사업소,은평구,6,2613,불광,0.0521978022,0.009448382709,0.837362231
지축차량사업소,은평구,3,313,녹번,0.3333333333,0.02311229726,0.837362231
신내차량사업소,은평구,6,2611,응암,0,0.02581349928,0.837362231
신내차량사업소,은평구,6,2611,응암,0.1813186813,0.02581349928,0.837362231
신내차량사업소,은평구,6,2612,역촌,0.03021978022,0.02297380727,0.837362231
신내차량사업소,은평구,6,2614,독바위,0.07692307692,0.01505269738,0.837362231
신내차량사업소,은평구,6,2616,구산,0.1401098901,0.01245115639,0.837362231
신내차량사업소,은평구,6,2617,새절,0.206043956,0.01614508574,0.837362231
신내차량사업소,은평구,6,2618,증산,0.2307692308,0.02239137272,0.837362231
신내차량사업소,은평구,6,2619,디지털미디어시티,0.260989011,0.09019840309,0.837362231
창동차량사업소,노원구,4,409,당고개,0,0.06068062007,0.6811878482
창동차량사업소,노원구,4,410,상계,0.03785488959,0.05010360864,0.6811878482
창동차량사업소,노원구,4,411,노원,0.06940063091,0.005799753824,0.6811878482
도봉차량사업소,노원구,7,2715,노원,0.2424242424,0.09841202456,0.6811878482
창동차량사업소,노원구,4,411,노원,0.06940063091,0.005799753824,0.6811878482
도봉차량사업소,노원구,7,2715,노원,0.2424242424,0.09841202456,0.6811878482
신내차량사업소,노원구,6,2645,석계,0.8983516484,0.05134484138,0.6811878482
신내차량사업소,노원구,6,2646,태릉입구,0.9203296703,0.05433078917,0.6811878482
도봉차량사업소,노원구,7,2719,태릉입구,0.4242424242,0.01527272821,0.6811878482
도봉차량사업소,노원구,7,2719,태릉입구,0.4242424242,0.03483476332,0.6811878482
신내차량사업소,노원구,6,2646,태릉입구,0.9203296703,0.05433078917,0.6811878482
도봉차량사업소,노원구,7,2719,태릉입구,0.4242424242,0.01527272821,0.6811878482
도봉차량사업소,노원구,7,2719,태릉입구,0.4242424242,0.03483476332,0.6811878482
신내차량사업소,노원구,6,2647,화랑대,0.9450549451,0.03101140407,0.6811878482
도봉차량사업소,노원구,7,2713,수락산,0.1298701299,0.04800166706,0.6811878482
도봉차량사업소,노원구,7,2714,마들,0.1904761905,0.1103791131,0.6811878482
도봉차량사업소,노원구,7,2716,중계,0.29004329,0.04026693623,0.6811878482
도봉차량사업소,노원구,7,2717,하계,0.3333333333,0.05052684441,0.6811878482
도봉차량사업소,노원구,7,2718,공릉,0.3896103896,0.0269485995,0.6811878482
창동차량사업소,도봉구,4,412,창동,0.1135646688,0.01197226576,0.8934023619
창동차량사업소,도봉구,4,413,쌍문,0.1545741325,0.002614483982,0.8934023619
도봉차량사업소,도봉구,7,2712,도봉산,0.06060606061,0.01527272821,0.8934023619
창동차량사업소,강북구,4,414,수유,0.2018927445,0.01531414578,
창동차량사업소,강북구,4,415,미아,0.2460567823,0.01709510121,
창동차량사업소,강북구,4,416,미아사거리,0.2933753943,,
창동차량사업소,성북구,4,417,길음,0.334384858,0.01553676521,0.6474721246
창동차량사업소,성북구,4,418,성신여대입구,0.3785488959,0.01767494716,0.6474721246
창동차량사업소,성북구,4,419,한성대입구,0.4100946372,,0.6474721246
신내차량사업소,성북구,6,2639,보문,0.7417582418,0.0141208021,0.6474721246
신내차량사업소,성북구,6,2640,안암,0.7664835165,0.0244868428,0.6474721246
신내차량사업소,성북구,6,2641,고려대,0.7884615385,0.02567889218,0.6474721246
신내차량사업소,성북구,6,2642,월곡,0.8269230769,0.02560511714,0.6474721246
신내차량사업소,성북구,6,2643,상월곡,0.8489010989,0.01726594868,0.6474721246
신내차량사업소,성북구,6,2644,돌곶이,0.8708791209,0.03051957045,0.6474721246
창동차량사업소,용산구,4,427,숙대입구,0.6529968454,0.004465331554,0.5956364104
창동차량사업소,용산구,4,428,삼각지,0.690851735,,0.5956364104
신내차량사업소,용산구,6,2629,삼각지,0.510989011,0.04866564244,0.5956364104
창동차량사업소,용산구,4,428,삼각지,0.690851735,,0.5956364104
신내차량사업소,용산구,6,2629,삼각지,0.510989011,0.04866564244,0.5956364104
창동차량사업소,용산구,4,429,신용산,0.7129337539,0.02530483977,0.5956364104
창동차량사업소,용산구,4,430,이촌,0.7539432177,0.005345454875,0.5956364104
신내차량사업소,용산구,6,2628,효창공원앞,0.478021978,0.03028659663,0.5956364104
신내차량사업소,용산구,6,2630,녹사평,0.5412087912,0.005177196005,0.5956364104
신내차량사업소,용산구,6,2631,이태원,0.5631868132,0.01009553221,0.5956364104
신내차량사업소,용산구,6,2632,한강진,0.5906593407,0.02976887703,0.5956364104
방화차량사업소,강서구,5,2511,방화,0,0.01167198839,0.6317879623
방화차량사업소,강서구,5,2512,개화산,0.03010033445,0.003882897004,0.6317879623
방화차량사업소,강서구,5,2513,김포공항,0.07023411371,0.07398471951,0.6317879623
김포차량사업소,강서구,9,4102,김포공항,0.08866995074,,
방화차량사업소,강서구,5,2514,송정,0.110367893,0.0270870895,0.6317879623
방화차량사업소,강서구,5,2515,마곡,0.1471571906,,0.6317879623
방화차량사업소,강서구,5,2516,발산,0.1872909699,0.02230853758,0.6317879623
방화차량사업소,강서구,5,2517,우장산,0.2240802676,0.02020141881,0.6317879623
방화차량사업소,강서구,5,2518,화곡,0.2575250836,0.03858823042,0.6317879623
신정차량사업소,강서구,2,200,까치산,1,,
방화차량사업소,강서구,5,2519,까치산,0.2976588629,0.03169738254,0.6317879623
고덕차량사업소,강동구,5,2548,천호,0.6931034483,0.2440620798,0.4074586191
모란차량사업소,강동구,8,2812,천호,0.07344632768,,0.4074586191
고덕차량사업소,강동구,5,2548,천호,0.6931034483,0.2440620798,0.4074586191
모란차량사업소,강동구,8,2812,천호,0.07344632768,,0.4074586191
고덕차량사업소,강동구,5,2549,강동,0.6655172414,0.0658254586,0.4074586191
고덕차량사업소,강동구,5,2550,길동,0.6344827586,0.004118459422,0.4074586191
