차량기지명,IC명,거리(km)
신내차량사업소,시흥IC,32.047948329479254
신내차량사업소,계양IC,32.10544456365021
수서차량사업소,남양평IC,32.16848228666661
고덕차량사업소,목감IC,32.276899885154215
군자차량사업소,수원신갈IC,32.28927533906267
신정차량사업소,덕소삼패IC,32.31955066171869
수서차량사업소,양지IC,32.351260136931224
창동차량사업소,목감IC,32.360726022051544
방화차량사업소,상일IC,32.40836960174914
방화차량사업소,성남IC,32.42370782372372
지축차량사업소,대왕판교IC,32.45602965420347
지축차량사업소,성남IC,32.50736659608314
천왕차량사업소,미사IC,32.50901101045885
고덕차량사업소,부곡IC,32.51024322734998
수서차량사업소,신둔(이천) 하이패스IC,32.51448331097576
신정차량사업소,봉담IC,32.531518969498904
창동차량사업소,중동IC,32.53203731754034
도봉차량사업소,대왕판교IC,32.65256618286401
방화차량사업소,판교IC,32.83641955031045
군자차량사업소,서인천IC,33.11355792965507
천왕차량사업소,수원신갈IC,33.141704447397345
고덕차량사업소,자유로IC,33.19298046807935
방화차량사업소,미사IC,33.226917168179035
고덕차량사업소,일산IC,33.26841225058133
고덕차량사업소,동군포IC,33.2886226385354
수서차량사업소,비봉IC,33.40743693341572
군자차량사업소,매송IC,33.44442576622309
신내차량사업소,중동IC,33.4653806409387
방화차량사업소,북수원IC,33.53828631273617
고덕차량사업소,수원신갈IC,33.57020598744816
창동차량사업소,송내IC,33.631720471380966
창동차량사업소,부평IC,33.852768325103156
수서차량사업소,부평IC,33.8548141721293
수서차량사업소,북오산IC,33.99146495971131
도봉차량사업소,중동IC,34.03396526485588
지축차량사업소,판교IC,34.039426230415046
도봉차량사업소,판교IC,34.07654716699216
지축차량사업소,안산IC,34.08239084514328
신내차량사업소,북수원IC,34.09403177837291
지축차량사업소,서안산IC,34.1878395364844
고덕차량사업소,용인IC,34.22156790386045
군자차량사업소,가좌IC,34.30182266782793
창동차량사업소,장수IC,34.357713488674264
신내차량사업소,송내IC,34.371860005176785
고덕차량사업소,군포IC,34.37743689145715
신내차량사업소,부곡IC,34.43898090880911
신정차량사업소,수원신갈IC,34.70329432357774
신내차량사업소,동군포IC,34.72308882080473
도봉차량사업소,부평IC,34.723966349970006
천왕차량사업소,정남IC,34.80272947462569
신내차량사업소,장수IC,34.83823923548645
천왕차량사업소,덕소삼패IC,34.85735432877257
방화차량사업소,매송IC,34.8951655393702
고덕차량사업소,김포IC,34.90620288506978
신내차량사업소,동수원IC,34.98078123257842
도봉차량사업소,시흥IC,34.98942770733033
고덕차량사업소,시흥IC,34.9919799804259
고덕차량사업소,부천IC,34.99692520507275
창동차량사업소,양평IC,35.00698995545497
군자차량사업소,양평IC,35.03592238042875
신내차량사업소,부평IC,35.04679191823276
신내차량사업소,남양평IC,35.063365144458345
신내차량사업소,설악IC,35.06397162866714
고덕차량사업소,신둔(이천) 하이패스IC,35.18097580533786
방화차량사업소,덕소삼패IC,35.187599203302845
군자차량사업소,도화IC,35.1966831281853
수서차량사업소,정남IC,35.505169601382555
도봉차량사업소,송내IC,35.50851351155041
신내차량사업소,군포IC,35.58629207233339
수서차량사업소,덕평IC,35.6649506749324
군자차량사업소,용인IC,35.747106340407
도봉차량사업소,광명역IC,36.11929702467755
지축차량사업소,동군포IC,36.14899302786806
도봉차량사업소,평촌IC,36.18776632196072
창동차량사업소,북수원IC,36.21439678481521
지축차량사업소,군포IC,36.30081371357381
창동차량사업소,부곡IC,36.33459302511807
창동차량사업소,동군포IC,36.43031236165538
천왕차량사업소,마성IC,36.541557416937934
천왕차량사업소,기흥IC,36.59733228734763
